open;high;low;close;volume;time;datetime;Time2;fvg_bearish;fvg_bullish;fvg_bearish_high;fvg_bearish_low;fvg_bullish_high;fvg_bullish_low
0.0074622;0.0074719;0.0074477;0.0074684;18645624.0;1714297680000;2024-04-28 09:48:00+00:00;2024-04-28 09:48:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.007468;0.0074761;0.0074569;0.0074759;13120813.0;1714297860000;2024-04-28 09:51:00+00:00;2024-04-28 09:51:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.007476;0.0074861;0.0074665;0.0074691;14683630.0;1714298040000;2024-04-28 09:54:00+00:00;2024-04-28 09:54:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074691;0.0074883;0.0074665;0.0074862;17070459.0;1714298220000;2024-04-28 09:57:00+00:00;2024-04-28 09:57:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074861;0.0075289;0.0074839;0.0075137;22744294.0;1714298400000;2024-04-28 10:00:00+00:00;2024-04-28 10:00:00+00:00;0.0;1.0;0.0;0.0;0.0075033;0.0074883
0.0075119;0.00752;0.0075033;0.0075067;15771228.0;1714298580000;2024-04-28 10:03:00+00:00;2024-04-28 10:03:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075066;0.0075068;0.0074801;0.0074811;4618157.0;1714298760000;2024-04-28 10:06:00+00:00;2024-04-28 10:06:00+00:00;1.0;0.0;0.0075033;0.0074864;0.0;0.0
0.0074815;0.0074864;0.0074654;0.007482;18485586.0;1714298940000;2024-04-28 10:09:00+00:00;2024-04-28 10:09:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074821;0.0074882;0.007458;0.0074663;6842710.0;1714299120000;2024-04-28 10:12:00+00:00;2024-04-28 10:12:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074663;0.0074889;0.0074153;0.0074322;20346624.0;1714299300000;2024-04-28 10:15:00+00:00;2024-04-28 10:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074307;0.0074602;0.0074306;0.0074587;12725878.0;1714299480000;2024-04-28 10:18:00+00:00;2024-04-28 10:18:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074584;0.0074651;0.0074317;0.0074651;5110154.0;1714299660000;2024-04-28 10:21:00+00:00;2024-04-28 10:21:00+00:00;0.0;1.0;0.0;0.0;0.007465;0.0074602
0.007465;0.0074825;0.007465;0.0074681;13904847.0;1714299840000;2024-04-28 10:24:00+00:00;2024-04-28 10:24:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074697;0.0074735;0.007443;0.0074538;19450256.0;1714300020000;2024-04-28 10:27:00+00:00;2024-04-28 10:27:00+00:00;1.0;0.0;0.007465;0.0074555;0.0;0.0
0.0074539;0.0074555;0.007431;0.0074346;6223776.0;1714300200000;2024-04-28 10:30:00+00:00;2024-04-28 10:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074344;0.0074548;0.0074339;0.0074537;6829365.0;1714300380000;2024-04-28 10:33:00+00:00;2024-04-28 10:33:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074537;0.0074691;0.0074432;0.0074678;11064326.0;1714300560000;2024-04-28 10:36:00+00:00;2024-04-28 10:36:00+00:00;0.0;1.0;0.0;0.0;0.0074621;0.0074548
0.0074679;0.0074753;0.0074621;0.0074722;8411608.0;1714300740000;2024-04-28 10:39:00+00:00;2024-04-28 10:39:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074723;0.0074723;0.0074609;0.0074715;13364161.0;1714300920000;2024-04-28 10:42:00+00:00;2024-04-28 10:42:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074716;0.0074831;0.0074666;0.0074831;3448873.0;1714301100000;2024-04-28 10:45:00+00:00;2024-04-28 10:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.007483;0.007483;0.0074666;0.0074719;8951919.0;1714301280000;2024-04-28 10:48:00+00:00;2024-04-28 10:48:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074719;0.0074776;0.0074692;0.0074707;2790941.0;1714301460000;2024-04-28 10:51:00+00:00;2024-04-28 10:51:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
